ORIGIN,DESTINATION,count,reverse_count,round_trips,ROUTE
ORD,CLT,1167,1366,1167,ORD-CLT
JFK,MCO,1175,1167,1167,JFK-MCO
ORD,STL,1167,1171,1167,ORD-STL
MCO,JFK,1167,1175,1167,MCO-JFK
CLT,ORD,1366,1167,1167,CLT-ORD
BWI,BOS,1161,1163,1161,BWI-BOS
BOS,BWI,1163,1161,1161,BOS-BWI
BNA,ORD,1157,1161,1157,BNA-ORD
ORD,BNA,1161,1157,1157,ORD-BNA
BOS,LAX,1156,1162,1156,BOS-LAX
LAX,BOS,1162,1156,1156,LAX-BOS
ORD,EWR,1153,1164,1153,ORD-EWR
EWR,ORD,1164,1153,1153,EWR-ORD
DFW,LAS,1151,1153,1151,DFW-LAS
LAS,DFW,1153,1151,1151,LAS-DFW
CLE,LGA,1139,1138,1138,CLE-LGA
LGA,CLE,1138,1139,1138,LGA-CLE
LGA,RDU,1137,1137,1137,LGA-RDU
RDU,LGA,1137,1137,1137,RDU-LGA
EWR,BOS,1134,1136,1134,EWR-BOS
BOS,EWR,1136,1134,1134,BOS-EWR
LAS,SJC,1136,1133,1133,LAS-SJC
SJC,LAS,1133,1136,1133,SJC-LAS
SFO,BOS,1128,1128,1128,SFO-BOS
BOS,SFO,1128,1128,1128,BOS-SFO
PHX,MSP,1125,1124,1124,PHX-MSP
MSP,PHX,1124,1125,1124,MSP-PHX
SEA,SMF,1125,1110,1110,SEA-SMF
LAS,OAK,1116,1110,1110,LAS-OAK
OAK,LAS,1110,1116,1110,OAK-LAS
SMF,SEA,1110,1125,1110,SMF-SEA
SFO,DEN,1098,1104,1098,SFO-DEN
DEN,SFO,1104,1098,1098,DEN-SFO
ORD,PHL,1094,1093,1093,ORD-PHL
PHL,ORD,1093,1094,1093,PHL-ORD
PHX,DFW,1092,1090,1090,PHX-DFW
DFW,PHX,1090,1092,1090,DFW-PHX
ORD,LAS,1090,1088,1088,ORD-LAS
LAS,ORD,1088,1090,1088,LAS-ORD
ORD,SEA,1084,1086,1084,ORD-SEA
SEA,ORD,1086,1084,1084,SEA-ORD
MIA,ORD,1082,1089,1082,MIA-ORD
ORD,MIA,1089,1082,1082,ORD-MIA
LAS,ATL,1080,1088,1080,LAS-ATL
ATL,LAS,1088,1080,1080,ATL-LAS
SNA,SEA,1073,1080,1073,SNA-SEA
SEA,SNA,1080,1073,1073,SEA-SNA
DEN,IAH,1064,1065,1064,DEN-IAH
IAH,DEN,1065,1064,1064,IAH-DEN
MCO,BWI,1063,1066,1063,MCO-BWI
BWI,MCO,1066,1063,1063,BWI-MCO
SJC,BUR,1063,1064,1063,SJC-BUR
BUR,SJC,1064,1063,1063,BUR-SJC
LAX,EWR,1056,1058,1056,LAX-EWR
EWR,LAX,1058,1056,1056,EWR-LAX
LGA,BNA,1052,1047,1047,LGA-BNA
BNA,LGA,1047,1052,1047,BNA-LGA
BWI,FLL,1051,1045,1045,BWI-FLL
FLL,BWI,1045,1051,1045,FLL-BWI
LGA,PIT,1053,1042,1042,LGA-PIT
PIT,LGA,1042,1053,1042,PIT-LGA
IAH,LGA,1036,1030,1030,IAH-LGA
LGA,IAH,1030,1036,1030,LGA-IAH
RIC,ATL,1029,1030,1029,RIC-ATL
ATL,RIC,1030,1029,1029,ATL-RIC
PBI,ATL,1024,1024,1024,PBI-ATL
ATL,PBI,1024,1024,1024,ATL-PBI
BOS,MCO,1022,1028,1022,BOS-MCO
MCO,BOS,1028,1022,1022,MCO-BOS
DFW,MCO,1021,1022,1021,DFW-MCO
MCO,DFW,1022,1021,1021,MCO-DFW
GRR,ORD,1019,1026,1019,GRR-ORD
ORD,GRR,1026,1019,1019,ORD-GRR
IND,ATL,1013,1014,1013,IND-ATL
DTW,MCO,1014,1013,1013,DTW-MCO
MCO,DTW,1013,1014,1013,MCO-DTW
SAN,DEN,1015,1013,1013,SAN-DEN
DEN,SAN,1013,1015,1013,DEN-SAN
ATL,IND,1014,1013,1013,ATL-IND
PHX,SNA,1010,1010,1010,PHX-SNA
SNA,PHX,1010,1010,1010,SNA-PHX
LGA,MCO,1009,1011,1009,LGA-MCO
MCO,LGA,1011,1009,1009,MCO-LGA
CLT,EWR,1000,1003,1000,CLT-EWR
DFW,SFO,1606,1000,1000,DFW-SFO
EWR,CLT,1003,1000,1000,EWR-CLT
SFO,DFW,1000,1606,1000,SFO-DFW
EWR,PBI,991,987,987,EWR-PBI
CLT,JFK,988,987,987,CLT-JFK
JFK,CLT,987,988,987,JFK-CLT
PBI,EWR,987,991,987,PBI-EWR
SLC,LAS,987,984,984,SLC-LAS
LAS,SLC,984,987,984,LAS-SLC
DSM,ORD,980,985,980,DSM-ORD
ORD,DSM,985,980,980,ORD-DSM
STL,ATL,977,978,977,STL-ATL
ATL,STL,978,977,977,ATL-STL
MSP,MDW,979,974,974,MSP-MDW
MDW,MSP,974,979,974,MDW-MSP
SEA,SLC,976,973,973,SEA-SLC
SLC,SEA,973,976,973,SLC-SEA
ORD,MSN,976,972,972,ORD-MSN
MSN,ORD,972,976,972,MSN-ORD
MKE,ORD,978,970,970,MKE-ORD
ORD,MKE,970,978,970,ORD-MKE
JFK,FLL,969,967,967,JFK-FLL
FLL,JFK,967,969,967,FLL-JFK
SNA,SFO,1028,965,965,SNA-SFO
SFO,SNA,965,1028,965,SFO-SNA
MCO,DCA,968,964,964,MCO-DCA
DCA,MCO,964,968,964,DCA-MCO
MCO,CLT,960,960,960,MCO-CLT
CLT,MCO,960,960,960,CLT-MCO
HOU,ATL,978,959,959,HOU-ATL
ATL,HOU,959,978,959,ATL-HOU
PDX,SJC,953,954,953,PDX-SJC
SJC,PDX,954,953,953,SJC-PDX
BOS,CLT,952,954,952,BOS-CLT
CLT,BOS,954,952,952,CLT-BOS
CLT,DTW,951,950,950,CLT-DTW
DTW,CLT,950,951,950,DTW-CLT
LAX,AUS,958,946,946,LAX-AUS
AUS,LAX,946,958,946,AUS-LAX
ATL,RSW,947,945,945,ATL-RSW
RSW,ATL,945,947,945,RSW-ATL
SLC,DFW,940,941,940,SLC-DFW
DFW,SLC,941,940,940,DFW-SLC
RDU,EWR,939,945,939,RDU-EWR
EWR,RDU,945,939,939,EWR-RDU
IAD,CLT,936,939,936,IAD-CLT
CLT,IAD,939,936,936,CLT-IAD
AUS,DFW,934,938,934,AUS-DFW
DFW,AUS,938,934,934,DFW-AUS
BUR,OAK,932,953,932,BUR-OAK
DTW,EWR,932,946,932,DTW-EWR
EWR,DTW,946,932,932,EWR-DTW
OAK,BUR,953,932,932,OAK-BUR
DFW,SAT,1112,931,931,DFW-SAT
SAT,DFW,931,1112,931,SAT-DFW
IAD,ATL,929,938,929,IAD-ATL
ATL,IAD,938,929,929,ATL-IAD
PHX,ONT,929,930,929,PHX-ONT
ONT,PHX,930,929,929,ONT-PHX
LGA,DEN,931,926,926,LGA-DEN
DEN,LGA,926,931,926,DEN-LGA
ORD,MCI,925,927,925,ORD-MCI
ATL,PHX,930,925,925,ATL-PHX
MCI,ORD,927,925,925,MCI-ORD
PHX,ATL,925,930,925,PHX-ATL
IAH,DTW,918,919,918,IAH-DTW
DTW,IAH,919,918,918,DTW-IAH
RDU,JFK,917,924,917,RDU-JFK
JFK,RDU,924,917,917,JFK-RDU
MCI,ATL,922,915,915,MCI-ATL
ATL,MCI,915,922,915,ATL-MCI
DFW,MSP,913,916,913,DFW-MSP
ORD,RSW,913,914,913,ORD-RSW
MSP,DFW,916,913,913,MSP-DFW
RSW,ORD,914,913,913,RSW-ORD
CLT,BNA,912,925,912,CLT-BNA
BNA,CLT,925,912,912,BNA-CLT
SLC,SFO,912,911,911,SLC-SFO
SFO,SLC,911,912,911,SFO-SLC
LGA,STL,916,910,910,LGA-STL
STL,LGA,910,916,910,STL-LGA
LAX,RNO,912,906,906,LAX-RNO
RNO,LAX,906,912,906,RNO-LAX
DEN,MCI,911,905,905,DEN-MCI
MCI,DEN,905,911,905,MCI-DEN
DFW,DTW,906,901,901,DFW-DTW
DTW,DFW,901,906,901,DTW-DFW
AUS,DEN,899,900,899,AUS-DEN
DEN,AUS,900,899,899,DEN-AUS
GSP,ATL,899,900,899,GSP-ATL
ATL,GSP,900,899,899,ATL-GSP
LGA,CMH,897,901,897,LGA-CMH
CMH,LGA,901,897,897,CMH-LGA
MDW,ATL,894,898,894,MDW-ATL
ATL,MDW,898,894,894,ATL-MDW
CLT,TPA,893,893,893,CLT-TPA
DFW,CLT,893,897,893,DFW-CLT
TPA,CLT,893,893,893,TPA-CLT
CLT,DFW,897,893,893,CLT-DFW
SMF,PHX,890,891,890,SMF-PHX
PHX,SMF,891,890,890,PHX-SMF
BOS,RDU,890,890,890,BOS-RDU
RDU,BOS,890,890,890,RDU-BOS
ATL,CMH,886,884,884,ATL-CMH
CMH,ATL,884,886,884,CMH-ATL
JFK,MIA,884,882,882,JFK-MIA
MIA,JFK,882,884,882,MIA-JFK
DEN,STL,889,879,879,DEN-STL
STL,DEN,879,889,879,STL-DEN
MIA,DFW,883,876,876,MIA-DFW
DFW,MIA,876,883,876,DFW-MIA
DEN,MCO,876,873,873,DEN-MCO
MCO,DEN,873,876,873,MCO-DEN
FLL,SJU,879,871,871,FLL-SJU
JFK,LAS,871,874,871,JFK-LAS
SJU,FLL,871,879,871,SJU-FLL
LAS,JFK,874,871,871,LAS-JFK
SAN,OAK,869,885,869,SAN-OAK
OAK,SAN,885,869,869,OAK-SAN
IAH,CLT,868,867,867,IAH-CLT
CLT,IAH,867,868,867,CLT-IAH
PHX,ABQ,867,863,863,PHX-ABQ
ABQ,PHX,863,867,863,ABQ-PHX
IAH,EWR,856,859,856,IAH-EWR
EWR,IAH,859,856,856,EWR-IAH
ORD,PIT,856,1152,856,ORD-PIT
PIT,ORD,1152,856,856,PIT-ORD
SEA,OAK,855,861,855,SEA-OAK
OAK,SEA,861,855,855,OAK-SEA
BWI,CLT,853,853,853,BWI-CLT
RSW,BOS,853,858,853,RSW-BOS
BOS,RSW,858,853,853,BOS-RSW
CLT,BWI,853,853,853,CLT-BWI
RNO,LAS,852,852,852,RNO-LAS
LAS,RNO,852,852,852,LAS-RNO
ORD,SDF,850,852,850,ORD-SDF
SDF,ORD,852,850,850,SDF-ORD
SLC,ORD,849,849,849,SLC-ORD
ORD,SLC,849,849,849,ORD-SLC
IAH,MSP,850,847,847,IAH-MSP
MSP,IAH,847,850,847,MSP-IAH
DFW,PHL,846,845,845,DFW-PHL
PHL,DFW,845,846,845,PHL-DFW
PHX,PDX,842,840,840,PHX-PDX
MEM,ATL,840,841,840,MEM-ATL
ATL,MEM,841,840,840,ATL-MEM
PDX,PHX,840,842,840,PDX-PHX
ATL,DAL,837,839,837,ATL-DAL
DAL,ATL,839,837,837,DAL-ATL
CLE,ATL,834,834,834,CLE-ATL
ATL,CLE,834,834,834,ATL-CLE
AUS,ATL,836,833,833,AUS-ATL
ATL,AUS,833,836,833,ATL-AUS
ORD,TPA,831,833,831,ORD-TPA
TPA,ORD,833,831,831,TPA-ORD
RSW,DTW,826,828,826,RSW-DTW
DTW,RSW,828,826,826,DTW-RSW
CHS,ATL,824,824,824,CHS-ATL
ATL,CHS,824,824,824,ATL-CHS
ATL,PIT,823,823,823,ATL-PIT
SEA,PSC,823,824,823,SEA-PSC
SAT,DAL,827,823,823,SAT-DAL
DAL,SAT,823,827,823,DAL-SAT
PSC,SEA,824,823,823,PSC-SEA
PIT,ATL,823,823,823,PIT-ATL
RDU,DCA,822,817,817,RDU-DCA
DCA,RDU,817,822,817,DCA-RDU
DAL,AUS,813,813,813,DAL-AUS
AUS,DAL,813,813,813,AUS-DAL
ATL,JFK,812,810,810,ATL-JFK
JFK,ATL,810,812,810,JFK-ATL
FLL,PHL,811,809,809,FLL-PHL
HOU,MSY,818,809,809,HOU-MSY
MSY,HOU,809,818,809,MSY-HOU
PHL,FLL,809,811,809,PHL-FLL
PHX,BUR,805,810,805,PHX-BUR
ATL,CHA,805,805,805,ATL-CHA
BUR,PHX,810,805,805,BUR-PHX
CHA,ATL,805,805,805,CHA-ATL
IAH,SFO,803,806,803,IAH-SFO
SFO,IAH,806,803,803,SFO-IAH
LAX,IAD,802,803,802,LAX-IAD
IAD,LAX,803,802,802,IAD-LAX
PHL,DTW,804,800,800,PHL-DTW
DTW,PHL,800,804,800,DTW-PHL
CLT,PHL,814,797,797,CLT-PHL
PHL,CLT,797,814,797,PHL-CLT
IAH,MSY,796,794,794,IAH-MSY
MSY,IAH,794,796,794,MSY-IAH
JFK,BUF,797,791,791,JFK-BUF
DAY,ORD,799,791,791,DAY-ORD
BUF,JFK,791,797,791,BUF-JFK
ORD,DAY,791,799,791,ORD-DAY
SNA,DEN,788,791,788,SNA-DEN
DEN,SNA,791,788,788,DEN-SNA
SEA,DFW,786,787,786,SEA-DFW
DFW,SEA,787,786,786,DFW-SEA
SEA,JFK,786,787,786,SEA-JFK
JFK,SEA,787,786,786,JFK-SEA
DCA,DTW,785,787,785,DCA-DTW
DTW,DCA,787,785,785,DTW-DCA
FLL,ORD,786,784,784,FLL-ORD
CHS,CLT,784,785,784,CHS-CLT
FLL,BOS,784,789,784,FLL-BOS
BOS,FLL,789,784,784,BOS-FLL
IAH,AUS,784,786,784,IAH-AUS
ORD,FLL,784,786,784,ORD-FLL
CLT,CHS,785,784,784,CLT-CHS
AUS,IAH,786,784,784,AUS-IAH
ORD,CID,784,783,783,ORD-CID
CID,ORD,783,784,783,CID-ORD
EWR,MIA,782,784,782,EWR-MIA
SFO,ATL,782,782,782,SFO-ATL
ATL,SFO,782,782,782,ATL-SFO
MIA,EWR,784,782,782,MIA-EWR
RDU,CLT,781,780,780,RDU-CLT
CLT,RDU,780,781,780,CLT-RDU
TUS,LAX,779,779,779,TUS-LAX
LAX,TUS,779,779,779,LAX-TUS
IAH,PHX,776,776,776,IAH-PHX
PHX,IAH,776,776,776,PHX-IAH
CLT,CVG,776,775,775,CLT-CVG
CVG,CLT,775,776,775,CVG-CLT
GSP,CLT,772,775,772,GSP-CLT
CLT,GSP,775,772,772,CLT-GSP
BHM,ATL,769,770,769,BHM-ATL
ATL,SAV,769,769,769,ATL-SAV
DCA,MIA,769,771,769,DCA-MIA
ATL,BHM,770,769,769,ATL-BHM
MIA,DCA,771,769,769,MIA-DCA
SAV,ATL,769,769,769,SAV-ATL
OAK,PHX,768,778,768,OAK-PHX
PHX,OAK,778,768,768,PHX-OAK
LAS,DTW,767,767,767,LAS-DTW
MIA,IAH,767,767,767,MIA-IAH
SFO,BUR,781,767,767,SFO-BUR
DTW,LAS,767,767,767,DTW-LAS
MIA,MCO,769,767,767,MIA-MCO
BUR,SFO,767,781,767,BUR-SFO
MCO,MIA,767,769,767,MCO-MIA
IAH,MIA,767,767,767,IAH-MIA
PDX,DEN,763,763,763,PDX-DEN
DEN,PDX,763,763,763,DEN-PDX
CLT,RIC,762,761,761,CLT-RIC
RIC,CLT,761,762,761,RIC-CLT
CLT,DCA,760,775,760,CLT-DCA
DCA,CLT,775,760,760,DCA-CLT
LAX,MCO,758,758,758,LAX-MCO
IAH,MCO,758,759,758,IAH-MCO
MCO,LAX,758,758,758,MCO-LAX
MCO,IAH,759,758,758,MCO-IAH
DFW,XNA,760,757,757,DFW-XNA
XNA,DFW,757,760,757,XNA-DFW
OMA,ORD,757,756,756,OMA-ORD
ORD,OMA,756,757,756,ORD-OMA
LAS,SNA,756,759,756,LAS-SNA
SNA,LAS,759,756,756,SNA-LAS
ORF,CLT,755,757,755,ORF-CLT
OKC,DFW,755,755,755,OKC-DFW
DTW,BOS,757,755,755,DTW-BOS
DFW,OKC,755,755,755,DFW-OKC
CLT,ORF,757,755,755,CLT-ORF
BOS,DTW,755,757,755,BOS-DTW
DEN,BNA,754,756,754,DEN-BNA
BNA,DEN,756,754,754,BNA-DEN
SAN,DFW,753,753,753,SAN-DFW
DFW,SAN,753,753,753,DFW-SAN
BUR,LAS,760,749,749,BUR-LAS
LAS,BUR,749,760,749,LAS-BUR
TUL,DFW,749,747,747,TUL-DFW
DFW,TUL,747,749,747,DFW-TUL
ATL,TYS,745,745,745,ATL-TYS
SAT,LAX,747,745,745,SAT-LAX
TYS,ATL,745,745,745,TYS-ATL
LAX,SAT,745,747,745,LAX-SAT
DFW,ELP,745,744,744,DFW-ELP
ELP,DFW,744,745,744,ELP-DFW
CLT,GSO,744,743,743,CLT-GSO
GSO,CLT,743,744,743,GSO-CLT
SFO,IAD,751,742,742,SFO-IAD
IAD,SFO,742,751,742,IAD-SFO
SNA,DFW,1050,740,740,SNA-DFW
MSY,LAX,740,744,740,MSY-LAX
LAX,MSY,744,740,740,LAX-MSY
DFW,SNA,740,1050,740,DFW-SNA
MSP,DTW,739,744,739,MSP-DTW
DTW,MSP,744,739,739,DTW-MSP
PBI,BOS,739,740,739,PBI-BOS
BOS,PBI,740,739,739,BOS-PBI
DFW,EWR,737,742,737,DFW-EWR
EWR,DFW,742,737,737,EWR-DFW
PDX,LAS,738,736,736,PDX-LAS
LAS,PDX,736,738,736,LAS-PDX
DCA,BNA,734,736,734,DCA-BNA
BNA,DCA,736,734,734,BNA-DCA
ATL,SAT,733,736,733,ATL-SAT
DFW,DCA,733,734,733,DFW-DCA
TPA,PHL,733,733,733,TPA-PHL
DCA,DFW,734,733,733,DCA-DFW
PHL,TPA,733,733,733,PHL-TPA
SAT,ATL,736,733,733,SAT-ATL
SFO,PSP,732,734,732,SFO-PSP
CLT,ILM,733,732,732,CLT-ILM
ILM,CLT,732,733,732,ILM-CLT
PSP,SFO,734,732,732,PSP-SFO
EWR,MSP,731,732,731,EWR-MSP
LGA,PBI,731,731,731,LGA-PBI
PBI,LGA,731,731,731,PBI-LGA
MSP,EWR,732,731,731,MSP-EWR
CLT,SAV,731,729,729,CLT-SAV
ATL,MKE,740,729,729,ATL-MKE
MKE,ATL,729,740,729,MKE-ATL
SAV,CLT,729,731,729,SAV-CLT
CAE,ATL,728,728,728,CAE-ATL
ATL,CAE,728,728,728,ATL-CAE
